[2026-07-18T15:41:38.655Z] GET file:///Users/juanpedroborrelli/Documents/Ruuts/Marketing/regenera-web/index.html → 200 (2ms, 30794B)
[2026-07-18T15:41:38.660Z] GET https://fonts.googleapis.com/css2?family=DM+Sans:opsz,wght@9..40,400;9..40,500;9..40,700;9..40,800;9..40,900&family=DM+Mono:wght@400;500&display=swap → 200 (101ms, 5937B)
[2026-07-18T15:41:38.660Z] GET file:///Users/juanpedroborrelli/Documents/Ruuts/Marketing/regenera-web/assets/logo-regenera.svg → 200 (4ms, 7821B)
[2026-07-18T15:41:38.660Z] GET file:///Users/juanpedroborrelli/Documents/Ruuts/Marketing/regenera-web/assets/hero-regenera.jpg → 200 (5ms, 696223B)
[2026-07-18T15:41:38.660Z] GET file:///Users/juanpedroborrelli/Documents/Ruuts/Marketing/regenera-web/assets/renegar-regenerar.jpg → 200 (6ms, 398439B)
[2026-07-18T15:41:38.660Z] GET file:///Users/juanpedroborrelli/Documents/Ruuts/Marketing/regenera-web/assets/semilla-aula.jpg → 200 (6ms, 228737B)
[2026-07-18T15:41:38.661Z] GET file:///Users/juanpedroborrelli/Documents/Ruuts/Marketing/regenera-web/assets/evento-crowd.jpg → 200 (5ms, 304012B)
[2026-07-18T15:41:38.767Z] GET https://fonts.gstatic.com/s/dmsans/v17/rP2Hp2ywxg089UriCZOIHTWEBlw.woff2 → pending (?ms, ?B)
[2026-07-18T15:41:38.767Z] GET https://fonts.gstatic.com/s/dmmono/v16/aFTU7PB1QTsUX8KYthqQBK6PYK0.woff2 → pending (?ms, ?B)
[2026-07-18T15:41:38.767Z] GET https://fonts.gstatic.com/s/dmmono/v16/aFTR7PB1QTsUX8KYvumzEYOtbYf-Vlg.woff2 → pending (?ms, ?B)
[2026-07-18T15:44:39.031Z] GET file:///Users/juanpedroborrelli/Documents/Ruuts/Marketing/regenera-web/index.html → 200 (1ms, 30069B)
[2026-07-18T15:44:39.036Z] GET https://fonts.googleapis.com/css2?family=DM+Sans:opsz,wght@9..40,400;9..40,500;9..40,700;9..40,800;9..40,900&family=DM+Mono:wght@400;500&display=swap → 200 (2ms, 5937B)
[2026-07-18T15:44:39.036Z] GET file:///Users/juanpedroborrelli/Documents/Ruuts/Marketing/regenera-web/assets/logo-regenera.svg → 200 (2ms, 7821B)
[2026-07-18T15:44:39.036Z] GET file:///Users/juanpedroborrelli/Documents/Ruuts/Marketing/regenera-web/assets/hero-regenera.jpg → 200 (2ms, 696223B)
[2026-07-18T15:44:39.036Z] GET file:///Users/juanpedroborrelli/Documents/Ruuts/Marketing/regenera-web/assets/renegar-regenerar.jpg → 200 (2ms, 398439B)
[2026-07-18T15:44:39.037Z] GET file:///Users/juanpedroborrelli/Documents/Ruuts/Marketing/regenera-web/assets/semilla-aula.jpg → 200 (2ms, 228737B)
[2026-07-18T15:44:39.037Z] GET file:///Users/juanpedroborrelli/Documents/Ruuts/Marketing/regenera-web/assets/evento-crowd.jpg → 200 (2ms, 304012B)
[2026-07-18T15:44:39.041Z] GET https://fonts.gstatic.com/s/dmsans/v17/rP2Hp2ywxg089UriCZOIHTWEBlw.woff2 → 200 (8ms, 62556B)
[2026-07-18T15:44:39.041Z] GET https://fonts.gstatic.com/s/dmmono/v16/aFTU7PB1QTsUX8KYthqQBK6PYK0.woff2 → 200 (8ms, 8688B)
[2026-07-18T15:44:39.041Z] GET https://fonts.gstatic.com/s/dmmono/v16/aFTR7PB1QTsUX8KYvumzEYOtbYf-Vlg.woff2 → 200 (7ms, 8724B)
[2026-07-18T15:45:23.087Z] GET file:///Users/juanpedroborrelli/Documents/Ruuts/Marketing/regenera-web/index.html → 200 (?ms, 29861B)
[2026-07-18T15:45:23.090Z] GET https://fonts.googleapis.com/css2?family=DM+Sans:opsz,wght@9..40,400;9..40,500;9..40,700;9..40,800;9..40,900&family=DM+Mono:wght@400;500&display=swap → 200 (3ms, 5937B)
[2026-07-18T15:45:23.091Z] GET file:///Users/juanpedroborrelli/Documents/Ruuts/Marketing/regenera-web/assets/logo-regenera.svg → 200 (?ms, 7821B)
[2026-07-18T15:45:23.091Z] GET file:///Users/juanpedroborrelli/Documents/Ruuts/Marketing/regenera-web/assets/hero-regenera.jpg → 200 (2ms, 696223B)
[2026-07-18T15:45:23.091Z] GET file:///Users/juanpedroborrelli/Documents/Ruuts/Marketing/regenera-web/assets/renegar-regenerar.jpg → 200 (3ms, 398439B)
[2026-07-18T15:45:23.091Z] GET file:///Users/juanpedroborrelli/Documents/Ruuts/Marketing/regenera-web/assets/semilla-aula.jpg → 200 (3ms, 228737B)
[2026-07-18T15:45:23.091Z] GET file:///Users/juanpedroborrelli/Documents/Ruuts/Marketing/regenera-web/assets/evento-crowd.jpg → 200 (3ms, 304012B)
[2026-07-18T15:45:23.103Z] GET https://fonts.gstatic.com/s/dmsans/v17/rP2Hp2ywxg089UriCZOIHTWEBlw.woff2 → 200 (?ms, 62556B)
[2026-07-18T15:45:23.103Z] GET https://fonts.gstatic.com/s/dmmono/v16/aFTU7PB1QTsUX8KYthqQBK6PYK0.woff2 → 200 (?ms, 8688B)
[2026-07-18T15:45:23.103Z] GET https://fonts.gstatic.com/s/dmmono/v16/aFTR7PB1QTsUX8KYvumzEYOtbYf-Vlg.woff2 → 200 (?ms, 8724B)
[2026-07-18T15:45:57.534Z] GET file:///Users/juanpedroborrelli/Documents/Ruuts/Marketing/regenera-web/index.html → 200 (?ms, 29691B)
[2026-07-18T15:45:57.538Z] GET https://fonts.googleapis.com/css2?family=DM+Sans:opsz,wght@9..40,400;9..40,500;9..40,700;9..40,800;9..40,900&family=DM+Mono:wght@400;500&display=swap → 200 (5ms, 5937B)
[2026-07-18T15:45:57.539Z] GET file:///Users/juanpedroborrelli/Documents/Ruuts/Marketing/regenera-web/assets/logo-regenera.svg → 200 (1ms, 7821B)
[2026-07-18T15:45:57.539Z] GET file:///Users/juanpedroborrelli/Documents/Ruuts/Marketing/regenera-web/assets/hero-regenera.jpg → 200 (2ms, 696223B)
[2026-07-18T15:45:57.539Z] GET file:///Users/juanpedroborrelli/Documents/Ruuts/Marketing/regenera-web/assets/renegar-regenerar.jpg → 200 (3ms, 398439B)
[2026-07-18T15:45:57.539Z] GET file:///Users/juanpedroborrelli/Documents/Ruuts/Marketing/regenera-web/assets/semilla-aula.jpg → 200 (4ms, 228737B)
[2026-07-18T15:45:57.539Z] GET file:///Users/juanpedroborrelli/Documents/Ruuts/Marketing/regenera-web/assets/evento-crowd.jpg → 200 (4ms, 304012B)
[2026-07-18T15:45:57.545Z] GET https://fonts.gstatic.com/s/dmsans/v17/rP2Hp2ywxg089UriCZOIHTWEBlw.woff2 → 200 (1ms, 62556B)
